# T [K]    kappa [W/cm K]       +/-
2.39808           11.0862       0.06621
2.90998           13.1762       0.16765
3.41856           14.7207       1.03535
3.42797           16.2662       0.61657
4.27209           18.2646       1.04014
4.45620           21.1734       0.94290
4.79174           21.6273       0.15268
5.13393           23.1722       0.10167
5.98192           25.8070       1.13736
6.15661           27.1703       0.53220
6.16326           28.2612       0.68233
9.39660           40.0735       0.39764
10.7493           43.6165       0.07312
11.4237           45.0698       0.14755
12.1014           47.0686       0.42038
14.9500           50.3361       0.01495
15.9527           51.0616       0.23300
17.7802           50.6037       0.00737
18.4386           49.4207       0.69059
19.6071           50.0549       0.61909
20.9388           50.1434       2.33816
21.2671           49.4156       1.85779
24.0736           45.7741       2.26958
28.1862           38.0393       0.55641
30.9794           32.2161       1.20510
33.2711           26.0301       4.16523
38.2306           20.7484       4.57870
44.5196           21.1915       4.00358
56.6277           8.89674       4.21708































