#                  T                   E                 +/-                 E^2                 +/-                   M                 +/-                 M^2                 +/-
      4.00000000E+00     -5.70394320E+02      3.35994288E-01      3.28171984E+05      3.85135303E+02     -2.70440000E-01      4.19763731E-01      4.40511288E+03      3.93738830E+01
      3.80000000E+00     -6.07746280E+02      3.40923026E-01      3.72261254E+05      4.16343129E+02     -1.56254000E+00      4.45972783E-01      4.97473460E+03      4.42601608E+01
      3.60000000E+00     -6.51545440E+02      3.48756682E-01      4.27552241E+05      4.56398939E+02     -5.41120000E-01      4.77916287E-01      5.71039224E+03      5.11709230E+01
      3.40000000E+00     -7.02483280E+02      3.57899260E-01      4.96685056E+05      5.05083132E+02     -4.35580000E-01      5.25133960E-01      6.89433164E+03      6.19600375E+01
      3.20000000E+00     -7.63100320E+02      3.69467484E-01      5.85734754E+05      5.66274499E+02      1.43736000E+00      5.86071542E-01      8.58906232E+03      7.59457965E+01
      3.00000000E+00     -8.36760120E+02      3.85634952E-01      7.03885356E+05      6.47744585E+02      2.94600000E-01      6.86095156E-01      1.17682509E+04      1.03906520E+02
      2.80000000E+00     -9.30280920E+02      4.06405927E-01      8.69551735E+05      7.59205924E+02     -3.66134000E+00      8.56397229E-01      1.83488108E+04      1.57544802E+02
      2.60000000E+00     -1.05352724E+03      4.41922774E-01      1.11480204E+06      9.34829804E+02      5.95326000E+00      1.21200521E+00      3.67593572E+04      3.10581173E+02
      2.40000000E+00     -1.24320652E+03      5.51858927E-01      1.55317616E+06      1.38594265E+03     -7.67528000E+00      2.39871574E+00      1.43904839E+05      9.09893461E+02
      2.20000000E+00     -1.58284820E+03      5.25893869E-01      2.51232253E+06      1.65225154E+03     -8.04282660E+02      5.97262040E-01      6.55788646E+05      8.41267589E+02
      2.00000000E+00     -1.78760080E+03      3.45571462E-01      3.19850211E+06      1.23052230E+03     -9.33014900E+02      1.80045534E-01      8.71327213E+05      3.30285214E+02
      1.80000000E+00     -1.90404388E+03      2.41961914E-01      3.62684674E+06      9.18632444E+02     -9.79910180E+02      9.11591076E-02      9.60431710E+05      1.77655275E+02
      1.60000000E+00     -1.97462356E+03      1.66044964E-01      3.89982748E+06      6.54056230E+02     -1.00316838E+03      5.33540807E-02      1.00641797E+06      1.06718762E+02
      1.40000000E+00     -2.01535704E+03      1.07342838E-01      4.06195206E+06      4.31670410E+02     -1.01519708E+03      3.09196892E-02      1.03064901E+06      6.26616813E+01
      1.20000000E+00     -2.03630968E+03      6.31100430E-02      4.14665668E+06      2.56469544E+02     -1.02095102E+03      1.70306089E-02      1.04234824E+06      3.47267868E+01
      1.00000000E+00     -2.04505148E+03      3.12187571E-02      4.18225992E+06      1.27426684E+02     -1.02324656E+03      8.11578257E-03      1.04703517E+06      1.65895460E+01
      8.00000000E-01     -2.04761360E+03      1.12327646E-02      4.19272461E+06      4.59076297E+01     -1.02390276E+03      2.84129817E-03      1.04837706E+06      5.81230594E+00
      6.00000000E-01     -2.04798768E+03      1.98401832E-03      4.19425364E+06      8.11066690E+00     -1.02399692E+03      4.96004581E-04      1.04856970E+06      1.01482537E+00
      4.00000000E-01     -2.04800000E+03      0.00000000E+00      4.19430400E+06      0.00000000E+00     -1.02400000E+03      0.00000000E+00      1.04857600E+06      0.00000000E+00
      2.00000000E-01     -2.04800000E+03      0.00000000E+00      4.19430400E+06      0.00000000E+00     -1.02400000E+03      0.00000000E+00      1.04857600E+06      0.00000000E+00
