#         Kinetic       Potential 
   6.22407909E-01  3.77134851E-01  
   4.29547101E-01  2.42379252E-01  
   2.37001671E-01  2.67495403E-01  
   3.01818649E-01  2.58392255E-01  
   4.09565316E-01  3.15222495E-01  
   2.14317707E-01  4.51218376E-01  
   4.18641845E-01  2.89516631E-01  
   3.66230261E-01  2.80669596E-01  
   2.39985912E-01  3.49197015E-01  
   4.08868551E-01  2.73554341E-01  
   4.29891894E-01  2.28270437E-01  
   1.76880098E-01  3.74807008E-01  
   4.50146777E-01  2.60430892E-01  
   2.94294733E-01  3.82058897E-01  
   4.52161080E-01  2.44881829E-01  
   3.44609451E-01  3.31618376E-01  
   4.01977123E-01  2.86437236E-01  
   1.95875270E-01  3.09855155E-01  
   4.07812408E-01  3.67230198E-01  
   2.81732855E-01  3.38656673E-01  
   3.49238393E-01  2.34915354E-01  
   7.58970450E-02  3.47864555E-01  
   2.35324623E-01  2.41883096E-01  
   4.14538771E-01  4.14814837E-01  
   3.56186180E-01  2.82852947E-01  
   3.08263779E-01  2.61148485E-01  
   3.51531602E-01  3.84750836E-01  
   4.13973099E-01  3.53702293E-01  
   3.92675219E-01  2.93938978E-01  
   3.77202537E-01  4.25175485E-01  
   3.91846384E-02  2.84571148E-01  
   3.13953529E-01  2.54153321E-01  
   2.28571815E-01  2.92566869E-01  
   2.74552363E-01  2.89681106E-01  
   3.64345023E-01  3.22662317E-01  
   3.89081119E-01  3.38496063E-01  
   3.77922421E-01  3.09245215E-01  
   5.17570876E-01  3.25877265E-01  
   3.42106263E-01  4.10930330E-01  
   2.55002349E-01  2.98024797E-01  
   2.73946972E-01  3.60943726E-01  
   4.73668443E-01  2.82561209E-01  
   2.15570473E-01  2.87773625E-01  
   2.91227918E-01  2.97038660E-01  
   4.92027933E-01  2.31306192E-01  
   4.51321203E-01  3.22497257E-01  
   3.80368393E-01  3.18374448E-01  
   2.83040980E-01  3.94547678E-01  
   1.91338598E-01  3.24232481E-01  
   3.83124905E-01  3.48084719E-01  
   7.03530693E-01  2.92183381E-01  
   2.88021063E-01  2.59222498E-01  
   4.01169774E-01  3.28670954E-01  
   3.48408046E-01  2.46565661E-01  
   2.36968115E-01  4.54009582E-01  
   3.47970254E-01  3.05955359E-01  
   2.49724515E-01  3.19558030E-01  
   3.34760811E-01  4.06845566E-01  
   3.24031817E-01  3.07531962E-01  
   3.65594753E-01  3.89643864E-01  
   3.88699997E-01  4.36493534E-01  
   3.29836468E-01  2.58774211E-01  
   3.23400860E-01  3.78085173E-01  
   4.63049001E-01  3.07513186E-01  
   4.44633551E-01  3.66748225E-01  
   3.39814276E-01  2.40358766E-01  
   3.14019128E-01  4.29008452E-01  
   3.89176739E-01  3.35800721E-01  
   4.81341340E-01  3.39699264E-01  
   3.15593205E-01  3.65387024E-01  
   4.76383731E-01  4.20763294E-01  
   2.69194023E-01  2.44221724E-01  
   4.42198677E-01  2.70598324E-01  
   3.45566563E-01  2.84435538E-01  
   2.70550257E-01  2.47907442E-01  
   3.81645592E-01  3.36414677E-01  
   3.39137567E-01  3.63777691E-01  
   3.09287864E-01  4.29483297E-01  
   3.23417573E-01  4.01822556E-01  
   5.26935059E-01  3.13494948E-01  
   2.64787335E-01  2.31303281E-01  
   4.20643867E-01  2.84629321E-01  
   3.13134670E-01  3.30908498E-01  
   2.98123445E-01  3.02906045E-01  
   4.32025154E-01  3.58888404E-01  
   2.66027526E-01  3.59500162E-01  
   3.39630196E-01  4.07672065E-01  
   1.74118580E-01  2.91727021E-01  
   3.88839520E-01  2.94189326E-01  
   2.81309277E-01  3.02944548E-01  
   1.81360485E-01  3.23353421E-01  
   5.22785861E-01  4.28154275E-01  
   4.90592941E-01  2.95281401E-01  
   3.28699565E-01  3.69066102E-01  
   2.79856415E-01  2.67487067E-01  
   2.58883053E-01  3.36661227E-01  
   2.64961515E-01  3.03649091E-01  
   3.05785016E-01  3.53010333E-01  
   2.96897274E-01  2.75480925E-01  
   3.47161034E-01  3.11490141E-01  
