# time [s]	  Signal 1	  Signal 2
      0.00	    0.3285	    0.1096
      0.05	    0.3690	    0.8394
      0.10	    0.8156	    0.4409
      0.15	   -0.3451	   -0.8416
      0.20	   -0.6717	    0.5600
      0.25	   -0.5807	    0.4303
      0.30	   -0.1419	    0.5509
      0.35	   -0.2641	   -0.1161
      0.40	   -0.6167	    0.5134
      0.45	    0.9849	   -0.2441
      0.50	   -0.7732	    0.9718
      0.55	    0.0993	   -0.2990
      0.60	    0.2557	   -0.0702
      0.65	    0.7995	   -0.5469
      0.70	    0.7677	   -0.6628
      0.75	    0.8168	    0.1419
      0.80	   -0.3056	    0.1236
      0.85	    0.6051	    0.7667
      0.90	    0.7206	   -0.3374
      0.95	   -0.4678	    0.6261
      1.00	    0.8684	    0.9240
      1.05	    0.1238	    0.8590
      1.10	    0.9409	    0.3700
      1.15	   -0.8644	    0.2359
      1.20	    0.4652	    0.4252
      1.25	   -0.2387	    0.8402
      1.30	   -0.9649	   -0.6370
      1.35	   -0.7012	   -0.8635
      1.40	    0.1193	    0.8231
      1.45	    0.1053	    0.9471
      1.50	   -0.1050	    0.9524
      1.55	   -0.0663	    0.5821
      1.60	    0.3961	    0.6536
      1.65	    0.6673	   -0.6562
      1.70	    0.1172	    0.2583
      1.75	   -0.6648	   -0.8428
      1.80	    0.2324	   -0.1414
      1.85	   -0.6101	   -0.3226
      1.90	   -0.0905	   -0.4192
      1.95	    0.2758	    0.6542
      2.00	   -0.8896	    0.1449
      2.05	   -0.1627	    0.4633
      2.10	   -0.2256	    0.2066
      2.15	    0.8391	    0.1075
      2.20	    0.5821	    0.4009
      2.25	   -0.8931	    0.1552
      2.30	    0.5728	    0.0335
      2.35	   -0.7520	   -0.5421
      2.40	   -0.4622	   -0.6634
      2.45	   -0.8114	   -0.5981
      2.50	    0.1940	    0.7014
      2.55	   -0.4024	   -0.5193
      2.60	   -0.0555	   -0.5233
      2.65	    0.2074	   -0.1588
      2.70	    0.4636	    0.4566
      2.75	   -0.4545	    0.3921
      2.80	   -0.6947	    0.2587
      2.85	    0.4223	   -0.2835
      2.90	    0.7047	   -0.7186
      2.95	   -0.2470	   -0.6744
      3.00	    0.4140	    0.9607
      3.05	   -0.5810	    0.5687
      3.10	    0.1675	   -0.8127
      3.15	    0.9684	   -0.8472
      3.20	    0.0598	   -0.7094
      3.25	    0.8991	    0.6209
      3.30	    0.0303	   -0.0854
      3.35	   -0.3525	    0.4712
      3.40	    0.4808	   -0.7430
      3.45	   -0.5713	   -0.7514
      3.50	   -0.9949	    0.0911
      3.55	   -0.7976	    0.0795
      3.60	   -0.0480	   -0.7092
      3.65	   -0.2486	   -0.9972
      3.70	   -0.6699	    0.4366
      3.75	   -0.1469	   -0.2192
      3.80	    0.1353	    0.7292
      3.85	    0.0824	    0.8369
      3.90	    0.8293	    0.0890
      3.95	    0.5748	   -0.2049
      4.00	    0.3534	   -0.8391
      4.05	    0.5106	   -0.3357
      4.10	    0.0201	    0.4234
      4.15	   -0.2806	    0.9995
      4.20	    0.4362	   -0.2991
      4.25	   -0.2154	    0.4430
      4.30	    0.6081	   -0.3131
      4.35	    0.2379	   -0.7527
      4.40	    0.2226	   -0.2167
      4.45	    0.1540	   -0.2919
      4.50	    0.7161	   -0.8571
      4.55	    0.5948	    0.0681
      4.60	   -0.4398	    0.4778
      4.65	    0.8506	   -0.6882
      4.70	   -0.1190	    0.8433
      4.75	   -0.5545	    0.4364
      4.80	    0.0679	    0.3682
      4.85	   -0.8401	   -0.1568
      4.90	    0.5629	   -0.0975
      4.95	    0.3105	   -0.8843
      5.00	    0.7510	    0.5298
      5.05	    0.9566	   -0.3195
      5.10	   -0.7850	    0.0955
      5.15	    0.1955	    0.7365
      5.20	   -0.1392	   -0.6913
      5.25	   -0.4231	    0.7915
      5.30	    0.7885	    0.6275
      5.35	   -0.2294	    0.0283
      5.40	   -0.1730	   -0.0389
      5.45	    0.8764	   -0.5543
      5.50	   -0.6444	    0.6832
      5.55	    0.6340	   -0.1944
      5.60	   -0.8582	    0.4056
      5.65	   -0.7792	   -0.4558
      5.70	   -0.0702	    0.0762
      5.75	    0.7953	    0.4451
      5.80	    0.6315	    0.7382
      5.85	    0.7570	    0.9752
      5.90	    0.7589	    0.6919
      5.95	   -0.8822	   -0.0479
      6.00	    0.7259	   -0.8256
      6.05	    0.0148	   -0.4696
      6.10	    0.1870	    0.3480
      6.15	    0.7608	    0.8198
      6.20	    0.5645	   -0.5206
      6.25	    0.7540	    0.3199
      6.30	   -0.6449	   -0.5968
      6.35	    0.8636	    0.5769
      6.40	   -0.4509	    0.2571
      6.45	    0.8328	    0.3836
      6.50	   -0.4175	   -0.0151
      6.55	   -0.2691	    0.7230
      6.60	    0.6975	    0.6275
      6.65	    0.6846	    0.9170
      6.70	   -0.9942	    0.3441
      6.75	   -0.2353	   -0.4526
      6.80	    0.2070	    0.5612
      6.85	   -0.3684	    0.7263
      6.90	    0.3050	    0.0255
      6.95	    0.7386	   -0.8904
      7.00	   -0.1685	   -0.8497
      7.05	   -0.1107	    0.6551
      7.10	   -0.4632	    0.4529
      7.15	   -0.7974	   -0.2808
      7.20	    0.3646	    0.8799
      7.25	    0.9024	    0.0502
      7.30	    0.5068	   -0.2105
      7.35	    0.6834	   -0.5945
      7.40	   -0.6926	   -0.2786
      7.45	   -0.1965	   -0.7258
      7.50	    0.2376	    0.4837
      7.55	    0.3413	   -0.7208
      7.60	   -0.0655	   -0.2635
      7.65	   -0.1327	   -0.4012
      7.70	    0.7895	   -0.5353
      7.75	    0.4683	    0.1564
      7.80	    0.4949	   -0.3472
      7.85	   -0.1765	    0.4551
      7.90	   -0.1235	    0.9308
      7.95	   -0.8028	   -0.3014
      8.00	   -0.4898	    0.3252
      8.05	    0.5128	   -0.4571
      8.10	    0.7854	   -0.4069
      8.15	   -0.4696	   -0.8764
      8.20	    0.3858	    0.7564
      8.25	    0.5620	   -0.1129
      8.30	   -0.0748	   -0.6189
      8.35	   -0.8015	    0.0716
      8.40	    0.4802	   -0.8493
      8.45	   -0.4769	    0.1474
      8.50	    0.1754	   -0.2571
      8.55	    0.0722	   -0.4112
      8.60	   -0.0932	   -0.8934
      8.65	    0.6758	    0.9055
      8.70	    0.0388	   -0.9273
      8.75	    0.8496	   -0.3702
      8.80	    0.2694	    0.6979
      8.85	    0.3426	    0.1569
      8.90	   -0.6844	    0.9837
      8.95	   -0.6162	    0.5750
      9.00	   -0.5288	   -0.7859
      9.05	    0.9667	   -0.9145
      9.10	   -0.6141	    0.0286
      9.15	    0.3761	    0.7285
      9.20	   -0.1663	   -0.7615
      9.25	   -0.6043	   -0.3419
      9.30	    0.2334	   -0.2210
      9.35	    0.1797	   -0.3672
      9.40	   -0.9408	   -0.4174
      9.45	   -0.6056	    0.6279
      9.50	   -0.9395	    0.2046
      9.55	   -0.2165	   -0.7521
      9.60	   -0.9543	   -0.1934
      9.65	   -0.3006	   -0.4203
      9.70	   -0.6133	   -0.2318
      9.75	   -0.7379	   -0.4644
      9.80	    0.0412	    0.7003
      9.85	    0.0910	   -0.0427
      9.90	   -0.8836	    0.7446
      9.95	   -0.8837	    0.7418
     10.00	   -0.3621	    0.8462
     10.05	    0.8778	   -0.8936
     10.10	   -0.9918	   -0.0060
     10.15	   -0.1120	    0.0426
     10.20	   -0.0949	    0.4761
     10.25	   -0.7627	    0.7863
     10.30	   -0.1301	   -0.2669
     10.35	    0.8160	   -0.7363
     10.40	   -0.3401	   -0.2661
     10.45	    0.5737	    0.2781
     10.50	    0.9534	   -0.7366
     10.55	    0.5944	   -0.8622
     10.60	    0.0306	   -0.7341
     10.65	   -0.9412	   -0.0512
     10.70	   -0.8243	   -0.1199
     10.75	    0.7404	   -0.8261
     10.80	    0.9126	    0.1571
     10.85	   -0.3325	   -0.5213
     10.90	   -0.5501	    0.5954
     10.95	    0.1557	    0.1950
     11.00	   -0.7573	    0.6648
     11.05	   -0.6493	    0.3816
     11.10	    0.1508	    0.1857
     11.15	    0.8490	    0.2317
     11.20	    0.1398	    0.8940
     11.25	   -0.4239	    0.3379
     11.30	   -0.0523	   -0.5431
     11.35	   -0.7047	   -0.5057
     11.40	    0.4227	    0.9185
     11.45	   -0.0275	   -0.4654
     11.50	    0.7851	    0.0250
     11.55	   -0.7079	    0.1517
     11.60	    0.0789	   -0.5289
     11.65	   -0.0823	   -0.9289
     11.70	   -0.2863	   -0.9243
     11.75	   -0.9146	   -0.9003
     11.80	   -0.2606	    0.0397
     11.85	    0.7309	   -0.9825
     11.90	   -0.0238	    0.2925
     11.95	   -0.2877	    0.2776
     12.00	    0.4433	    0.3034
     12.05	   -0.4311	   -0.9046
     12.10	   -0.5979	    0.3967
     12.15	    0.9328	    0.2603
     12.20	   -0.0783	    0.8450
     12.25	   -0.1276	   -0.2975
     12.30	   -0.2865	    0.6856
     12.35	   -0.8007	   -0.7384
     12.40	   -0.3515	    0.7367
     12.45	   -0.5325	   -0.3990
     12.50	   -1.0205	   -3.4791
     12.55	   -0.9274	   -0.2773
     12.60	   -3.8653	    0.8511
     12.65	   -3.0539	    2.9179
     12.70	   -0.6824	   -1.6387
     12.75	    0.2400	    2.0852
     12.80	   -0.0728	   -0.8047
     12.85	   -2.5078	    2.3094
     12.90	   -1.9717	    3.3378
     12.95	   -1.6029	    0.0295
     13.00	    0.9242	   -0.4482
     13.05	    1.7321	    0.6180
     13.10	    2.1328	   -0.9562
     13.15	   -0.4211	    2.9608
     13.20	   -2.2092	   -3.9079
     13.25	   -2.5174	    2.4269
     13.30	   -3.3502	   -2.9590
     13.35	   -1.0619	    2.0194
     13.40	   -0.7345	    0.1642
     13.45	    0.0978	    1.0298
     13.50	    0.5489	   -0.9788
     13.55	   -0.5749	   -2.3287
     13.60	   -1.2277	    0.7374
     13.65	   -1.0626	    3.0343
     13.70	   -0.9613	    3.8259
     13.75	    0.3162	   -1.9034
     13.80	    1.1662	    2.0050
     13.85	    2.0353	    2.1868
     13.90	    0.7659	   -3.5672
     13.95	   -1.9242	   -0.7969
     14.00	   -3.4706	    0.3670
     14.05	   -2.5836	    2.2752
     14.10	   -1.1978	    2.4171
     14.15	    2.3467	    2.9769
     14.20	    2.8659	   -3.0431
     14.25	    1.3129	    3.2594
     14.30	   -0.2114	    1.5596
     14.35	   -0.8173	    1.8221
     14.40	    1.2901	   -2.9735
     14.45	    1.7153	   -3.2555
     14.50	    2.1318	   -3.1007
     14.55	    0.9194	    0.8500
     14.60	   -0.4671	    1.8704
     14.65	    0.2276	   -3.2697
     14.70	    0.9244	   -2.8117
     14.75	   -0.4276	    1.8785
     14.80	   -1.3449	    1.4736
     14.85	   -1.1989	   -0.2172
     14.90	    1.5012	    2.2292
     14.95	    1.9074	   -1.8626
     15.00	    3.0944	   -0.6170
     15.05	    2.7163	    0.9388
     15.10	    1.2361	    3.5404
     15.15	    0.2111	    0.5825
     15.20	    1.6467	    1.3657
     15.25	    0.8381	    0.6516
